iter	Passed	Remaining
653	5486	2902
654	5494	2894
655	5503	2885
656	5511	2877
657	5519	2868
658	5527	2860
659	5536	2852
660	5544	2843
661	5553	2835
662	5561	2826
663	5569	2818
664	5577	2809
665	5586	2801
666	5594	2793
667	5603	2784
668	5611	2776
669	5620	2768
670	5628	2759
671	5636	2751
672	5644	2742
673	5653	2734
674	5661	2725
675	5669	2717
676	5677	2708
677	5686	2700
678	5694	2692
679	5703	2683
680	5711	2675
681	5719	2666
682	5727	2658
683	5736	2649
684	5743	2641
685	5752	2633
686	5760	2624
687	5769	2616
688	5777	2607
689	5785	2599
690	5793	2590
691	5802	2582
692	5809	2573
693	5817	2565
694	5825	2556
695	5834	2548
696	5842	2539
697	5850	2531
698	5858	2522
699	5866	2514
700	5874	2505
701	5883	2497
702	5892	2489
703	5900	2480
704	5909	2472
705	5917	2464
706	5925	2455
707	5934	2447
708	5942	2439
709	5951	2430
710	5959	2422
711	5968	2414
712	5976	2405
713	5983	2396
714	5991	2388
715	5999	2379
716	6008	2371
717	6019	2364
718	6031	2357
719	6044	2350
720	6056	2343
721	6069	2337
722	6081	2329
723	6093	2323
724	6105	2315
725	6121	2310
726	6132	2303
727	6143	2295
728	6154	2287
729	6163	2279
730	6175	2272
731	6185	2264
732	6193	2256
733	6202	2247
734	6210	2239
735	6219	2230
736	6227	2222
737	6235	2213
738	6243	2205
739	6251	2196
740	6260	2188
741	6268	2179
742	6277	2171
743	6285	2162
744	6293	2154
745	6302	2145
746	6310	2137
747	6318	2128
748	6326	2120
749	6335	2111
750	6343	2103
751	6351	2094
752	6359	2086
753	6368	2077
754	6376	2069
755	6385	2060
756	6393	2052
757	6401	2043
758	6410	2035
759	6418	2026
760	6426	2018
761	6434	2009
762	6443	2001
763	6451	1992
764	6459	1984
765	6467	1975
766	6476	1967
767	6484	1958
768	6492	1950
769	6501	1941
770	6510	1933
771	6518	1925
772	6526	1916
773	6535	1908
774	6543	1899
775	6551	1891
776	6559	1882
777	6568	1874
778	6576	1865
779	6585	1857
780	6593	1848
781	6601	1840
782	6609	1831
783	6618	1823
784	6626	1814
785	6634	1806
786	6643	1797
